Title,Java,Min Experience,Max Experience,Spring Boot,SQL,Git,Microservices,Hibernate
Senior Java Azure Fullstack Developer,1,5,8,0,0,0,0,0
Java Developer,1,2,5,0,0,0,0,0
Java Fullstack (React) Developer (Standard),1,4,6,0,0,0,0,1
Java Developer,1,2,7,0,0,0,0,0
Java Developer,1,3,5,0,0,0,0,0
Java Full stack Developer,1,4,7,1,0,0,0,0
Java Developer,1,1,3,0,0,0,0,0
Senior Java Developer,1,8,13,1,0,1,0,0
Camunda Developer with java,1,8,10,0,0,1,0,0
Automation Test Engineer - Java/Selenium,1,5,8,0,0,0,0,0
Technical Lead - Java/Full Stack Development,1,5,7,0,0,0,0,0
Java Developer - Spring Boot Frameworks,1,3,7,1,0,1,0,0
Java Full Stack Developer - AngularJS/Spring Boot,1,5,7,1,0,0,1,0
Java Developer - GCP,1,3,5,1,0,1,1,0
Java Developer - JLP2 - N2 or N3 Certified consultant,1,6,10,0,0,1,0,0
Senior Java Developer - Spring/Hibernate,1,4,6,1,0,1,0,1
"Java Developer (Java, Spring Boot, Microservices)",1,5,7,1,0,1,1,0
Java DB - Engineer,1,3,7,1,0,0,0,1
Java Professional,1,4,9,1,0,1,0,1
java React AWS Developer,1,3,5,0,0,0,0,0
Java Developer (Intermediate),1,4,7,1,0,0,0,0
Java Developers,1,3,7,0,1,0,0,1
Java Full Stack Developer,1,10,15,1,0,0,0,0
Java Architect,1,10,20,0,1,0,0,1
Java JSP Developer,1,3,5,0,0,0,0,1
Java JSP Developer,1,3,5,1,0,0,0,1
Java Developer,1,3,5,1,0,0,0,0
Scala Developer,1,3,8,0,0,0,1,1
Scala Developer,1,3,8,0,0,0,1,1
Application Developer-Microsoft Cloud,0,3,7,0,1,0,0,1
Java Developer,1,1,5,0,0,0,0,1
Software Engineer - C++ | Baner Pune |,0,1,3,0,0,0,0,0
Java Lead,1,12,16,1,0,0,1,0
Senior Java Developer & Support Analyst (OIDC Authentication),1,6,8,0,0,1,0,0
Senior Java Developer,1,6,11,0,0,1,0,0
Java FullStack Lead,1,10,15,1,0,0,1,0
Acitmize / Java Developer - Backend Architecture,1,5,10,0,0,1,0,0
Java Developer,1,5,10,1,0,0,1,0
Senior Java Developer,1,4,6,1,1,0,1,1
Java Developer,1,3,5,1,1,0,0,1
Java Developer - Hyderabad,1,3,8,1,0,0,1,1
Java Developer,1,8,13,1,0,0,1,0
Java developer,1,8,12,0,1,1,0,0
Java/Camunda Developer,1,5,8,1,0,0,0,1
Java Developer -(F2F Interview-17th May),1,3,8,1,0,0,1,1
Java Full Stack Developer,1,8,10,1,0,0,0,1
Java Full Stack Developer - Contract,1,3,8,1,0,0,1,0
Developers ( Java ),1,1,4,0,0,0,0,0
Java Fullstack Developer,1,1,4,1,1,0,1,0
Senior Software Engineer- Java,1,4,10,1,0,0,0,0
Java Full Stack Developer,1,7,12,1,0,0,0,1
Java Full Stack Developer,1,6,11,1,0,0,0,1
Java Developer (F2F Interview-May 17th)-H,1,3,8,1,0,0,1,1
Java Developer - Immediate Joiner preferred,1,3,5,1,0,0,1,0
Java Developer (F2F Interview-17 May),1,3,8,1,0,0,1,1
Java Developer (F2F Interview-17th May),1,3,8,1,0,0,1,1
Senior Java Developer,1,5,10,1,0,0,1,1
Java Developer (Kolkatta),1,3,6,1,0,0,1,1
Java Developer (Thiruvananthapuram),1,3,6,1,0,0,1,1
Java Developer (Chennai),1,3,8,1,0,0,1,1
Java Developer (Pune),1,3,8,1,0,0,1,1
Technical Manager Java,1,12,19,1,0,0,1,0
Java Lead,1,7,12,1,0,0,1,1
Java Full Stack Developer || Pune,1,5,10,1,1,0,0,1
Java Developer with Kafka and API - Lead,1,8,12,0,0,0,1,0
Java Lead,1,11,14,0,0,0,0,0
Java Developer,1,8,11,1,0,0,0,1
Java Developer (3 To 5 Years) Face To Face Interview,1,3,5,1,0,0,1,1
Java Developer,1,1,3,0,0,0,0,0
Java Developer,1,5,10,0,0,0,1,0
Tech Lead - Java + React +AWS Job,1,8,12,0,0,0,1,0
Java Full Stack Developer (with Angular),1,5,10,1,0,0,0,0
Java Developer,1,4,6,1,0,0,0,1
Java Full Stack,1,6,11,1,0,0,0,0
Java Full Stack Developer,1,6,10,1,0,0,0,0
Java Full Stack Developer,1,6,10,1,0,0,0,0
Java Developer (Full stack),1,0,2,0,0,0,0,1
Java Develope-(Pune).,1,3,8,1,0,0,1,1
Java Technical Architect,1,13,18,1,0,0,0,1
Java Developer - Mangalore,1,1,3,1,0,0,0,1
Java/J2EE,1,12,22,0,0,0,1,0
Java Developer (Backend),1,4,7,1,0,0,1,0
Java Developer,1,2,6,0,0,0,0,1
Java Developer_INFOSYS,1,3,8,1,0,0,0,0
"Java Developer - Hyderabad, Pune, Chennai",1,3,8,1,0,0,1,1
Java Developer,1,3,6,1,0,0,1,1
Job Opportunity For Java Application support,1,2,4,1,0,0,0,0
Java Full Stack Lead,1,6,11,1,0,0,1,1
Lead Fullstack Java Developer,1,6,11,1,0,0,1,1
Java Developer Mangalore ( 1 To 2.5 years),1,1,3,1,0,0,1,0
Java Software Develope,1,5,10,1,0,0,1,1
Java Developer Mangalore ( 1 To 2.5 years),1,1,3,1,0,0,1,0
