iter	Passed	Remaining
232	3223	10612
233	3255	10657
234	3272	10653
235	3286	10638
236	3299	10622
237	3312	10606
238	3325	10587
239	3339	10573
240	3351	10556
241	3365	10540
242	3378	10523
243	3391	10508
244	3404	10491
245	3418	10479
246	3432	10463
247	3446	10449
248	3460	10437
249	3473	10420
250	3486	10404
251	3499	10386
252	3512	10369
253	3525	10352
254	3539	10340
255	3552	10323
256	3565	10308
257	3579	10294
258	3592	10279
259	3605	10262
260	3619	10247
261	3632	10231
262	3645	10217
263	3659	10203
264	3672	10185
265	3685	10170
266	3698	10154
267	3712	10141
268	3726	10127
269	3741	10116
270	3755	10103
271	3769	10088
272	3782	10072
273	3795	10057
274	3809	10042
275	3821	10025
276	3835	10010
277	3848	9994
278	3861	9979
279	3875	9964
280	3887	9947
281	3901	9934
282	3915	9918
283	3927	9902
284	3940	9885
285	3954	9872
286	3967	9855
287	3980	9840
288	3994	9826
289	4007	9810
290	4020	9795
291	4033	9780
292	4046	9765
293	4060	9749
294	4073	9733
295	4085	9717
296	4099	9703
297	4113	9689
298	4126	9673
299	4139	9659
300	4152	9644
301	4166	9630
302	4179	9614
303	4192	9598
304	4205	9582
305	4218	9566
306	4232	9554
307	4245	9539
308	4258	9524
309	4271	9508
310	4284	9492
311	4298	9479
312	4311	9463
313	4325	9450
314	4338	9434
315	4351	9419
316	4366	9407
317	4379	9392
318	4392	9378
319	4405	9361
320	4418	9345
321	4431	9330
322	4444	9316
323	4458	9302
324	4471	9287
325	4484	9272
326	4498	9258
327	4511	9243
328	4525	9229
329	4538	9214
330	4551	9200
331	4564	9184
332	4578	9171
333	4591	9155
334	4604	9140
335	4617	9125
336	4632	9113
337	4645	9098
338	4657	9081
339	4701	9126
340	4718	9118
341	4732	9104
342	4745	9088
343	4758	9074
344	4771	9058
345	4785	9044
346	4799	9032
347	4812	9016
348	4825	9000
349	4838	8986
350	4852	8972
351	4866	8957
352	4879	8942
353	4892	8928
354	4905	8912
355	4918	8897
356	4930	8881
357	4943	8865
358	4956	8849
359	4968	8833
360	4982	8819
361	4995	8804
362	5009	8790
363	5022	8775
364	5035	8761
365	5052	8752
366	5064	8735
367	5077	8719
368	5090	8705
369	5103	8690
370	5116	8674
371	5129	8659
372	5142	8644
373	5155	8629
374	5168	8613
375	5181	8599
376	5194	8584
377	5207	8569
378	5221	8554
379	5233	8538
380	5246	8523
381	5260	8510
382	5274	8496
383	5287	8481
384	5300	8466
385	5312	8450
386	5326	8437
387	5339	8421
388	5352	8406
389	5364	8390
390	5377	8375
391	5390	8361
392	5404	8347
393	5419	8335
394	5432	8321
395	5448	8310
396	5465	8300
397	5480	8290
398	5495	8278
399	5509	8264
400	5524	8252
401	5541	8243
402	5556	8230
403	5569	8216
404	5583	8202
405	5596	8187
406	5610	8173
407	5623	8159
408	5636	8145
409	5649	8129
410	5662	8114
411	5675	8100
412	5688	8085
413	5701	8070
414	5714	8054
415	5726	8039
416	5740	8025
417	5752	8010
418	5766	7995
419	5780	7982
420	5793	7968
421	5809	7956
422	5822	7942
423	5835	7927
424	5848	7913
425	5861	7898
426	5874	7883
427	5888	7869
428	5901	7854
429	5913	7839
430	5927	7824
431	5940	7811
432	5953	7795
433	5965	7780
434	5978	7765
435	5992	7751
436	6005	7737
437	6018	7722
438	6032	7709
439	6046	7695
440	6059	7680
441	6073	7667
442	6086	7652
443	6099	7637
444	6113	7624
445	6127	7611
446	6142	7598
447	6155	7584
448	6169	7570
449	6183	7557
450	6198	7545
451	6213	7532
452	6227	7519
453	6240	7505
454	6255	7493
455	6270	7481
456	6284	7467
457	6297	7452
458	6310	7437
459	6324	7423
460	6338	7410
461	6351	7396
462	6364	7382
463	6378	7367
464	6391	7353
465	6404	7339
466	6417	7324
467	6430	7310
468	6443	7295
469	6457	7281
470	6471	7268
471	6484	7253
472	6497	7238
473	6510	7224
474	6523	7210
475	6536	7195
476	6549	7181
477	6562	7167
478	6577	7154
479	6591	7141
480	6605	7126
481	6618	7112
482	6630	7096
483	6643	7082
484	6657	7069
485	6671	7055
486	6684	7041
487	6697	7026
488	6710	7012
489	6725	6999
490	6737	6984
491	6753	6972
492	6765	6957
493	6777	6942
494	6790	6927
495	6803	6913
496	6818	6900
497	6831	6886
498	6844	6872
499	6857	6857
500	6870	6843
501	6884	6829
502	6897	6815
503	6910	6800
504	6923	6786
505	6936	6771
506	6949	6757
507	6962	6743
508	6975	6729
509	6989	6715
510	7004	6703
511	7017	6688
512	7030	6674
513	7044	6660
514	7057	6646
515	7071	6632
516	7084	6618
517	7097	6604
518	7110	6590
519	7124	6576
520	7137	6562
521	7151	6548
522	7164	6534
523	7177	6519
524	7190	6505
525	7203	6491
526	7217	6477
527	7230	6463
528	7244	6449
529	7257	6435
530	7270	6421
531	7284	6407
532	7297	6393
533	7310	6379
534	7323	6365
535	7337	6351
536	7349	6336
537	7362	6322
538	7374	6306
539	7387	6293
540	7402	6280
541	7415	6265
542	7428	6251
543	7442	6238
544	7455	6224
545	7470	6211
546	7483	6197
547	7496	6183
548	7509	6169
549	7523	6155
550	7538	6142
551	7550	6128
552	7604	6146
553	7618	6132
554	7631	6119
555	7644	6104
556	7657	6090
557	7669	6075
558	7683	6061
559	7696	6047
560	7710	6033
561	7724	6020
562	7737	6005
563	7749	5990
564	7762	5976
565	7777	5963
566	7790	5949
567	7804	5935
568	7817	5921
569	7830	5907
570	7843	5892
571	7857	5879
572	7869	5864
573	7882	5850
574	7896	5836
575	7909	5822
576	7922	5808
577	7936	5794
578	7949	5780
579	7963	5766
580	7976	5752
581	7990	5738
582	8003	5724
583	8016	5710
584	8030	5696
585	8043	5682
586	8056	5668
587	8069	5654
588	8082	5640
589	8096	5626
590	8109	5611
591	8122	5597
592	8136	5584
593	8150	5570
594	8165	5558
595	8179	5544
596	8192	5530
597	8205	5516
598	8218	5502
599	8231	5487
600	8245	5474
601	8258	5459
602	8272	5446
603	8285	5431
604	8299	5418
605	8312	5404
606	8325	5390
607	8338	5376
608	8351	5362
609	8364	5347
610	8378	5334
611	8391	5320
612	8404	5306
613	8418	5292
614	8431	5278
615	8445	5264
616	8459	5251
617	8471	5236
618	8484	5222
619	8497	5208
620	8511	5194
621	8524	5180
622	8538	5167
623	8551	5153
624	8564	5138
625	8578	5124
626	8593	5112
627	8606	5098
628	8619	5083
629	8632	5069
630	8645	5056
631	8659	5042
632	8672	5028
633	8686	5014
634	8700	5001
635	8713	4986
636	8726	4973
637	8740	4959
638	8754	4945
639	8766	4931
640	8780	4917
641	8793	4903
642	8806	4889
643	8818	4874
644	8831	4860
645	8845	4847
646	8857	4832
647	8869	4818
648	8883	4804
649	8896	4790
650	8909	4776
651	8924	4763
652	8938	4749
653	8952	4736
654	8964	4722
655	8977	4707
656	8990	4693
657	9003	4679
658	9016	4665
659	9029	4651
660	9052	4642
661	9066	4629
662	9079	4615
663	9092	4601
664	9106	4587
665	9119	4573
666	9132	4559
667	9145	4545
668	9159	4531
669	9172	4517
670	9185	4503
671	9199	4490
672	9212	4476
673	9225	4462
674	9238	4448
675	9251	4434
676	9263	4419
677	9277	4405
678	9291	4392
679	9303	4378
680	9317	4364
681	9331	4350
682	9345	4337
683	9358	4323
684	9371	4309
685	9384	4295
686	9398	4281
687	9411	4268
688	9424	4254
689	9437	4240
690	9451	4226
691	9464	4212
692	9477	4198
693	9490	4184
694	9503	4170
695	9517	4156
696	9531	4143
697	9545	4129
698	9558	4116
699	9571	4101
700	9584	4087
701	9597	4074
702	9610	4060
703	9624	4046
704	9636	4032
705	9650	4018
706	9663	4004
707	9676	3990
708	9689	3976
709	9703	3963
710	9716	3949
711	9730	3935
712	9743	3921
713	9757	3908
714	9770	3894
715	9784	3881
716	9831	3880
717	9844	3866
718	9861	3853
719	9874	3840
720	9888	3826
721	9901	3812
722	9915	3799
723	9929	3785
724	9941	3771
725	9955	3757
726	9968	3743
727	9981	3729
728	9994	3715
729	10007	3701
730	10019	3687
731	10032	3673
732	10046	3659
733	10059	3645
734	10072	3631
735	10085	3617
736	10100	3604
737	10114	3590
738	10127	3576
739	10140	3562
740	10152	3548
741	10166	3535
742	10180	3521
743	10193	3507
744	10206	3493
745	10220	3479
746	10233	3465
747	10246	3451
748	10259	3438
749	10273	3424
750	10285	3410
751	10298	3396
752	10312	3382
753	10327	3369
754	10340	3355
755	10354	3341
756	10367	3327
757	10381	3314
758	10393	3300
759	10406	3286
760	10420	3272
761	10432	3258
762	10445	3244
763	10458	3230
764	10472	3216
765	10485	3203
766	10499	3189
767	10512	3175
768	10526	3161
769	10539	3148
770	10553	3134
771	10565	3120
772	10579	3106
773	10591	3092
774	10604	3078
775	10617	3064
776	10630	3051
777	10642	3036
778	10655	3022
779	10668	3009
780	10680	2994
781	10694	2981
782	10708	2967
783	10721	2953
784	10734	2939
785	10748	2926
786	10760	2912
787	10773	2898
788	10785	2884
789	10799	2870
790	10814	2857
791	10827	2843
792	10840	2829
793	10854	2816
794	10867	2802
795	10879	2788
796	10893	2774
797	10907	2760
798	10919	2747
799	10934	2733
800	10947	2719
801	10959	2705
802	10973	2692
803	10985	2678
804	10998	2664
805	11011	2650
806	11025	2636
807	11038	2622
808	11051	2609
809	11064	2595
810	11076	2581
811	11089	2567
812	11102	2553
813	11115	2539
814	11129	2526
815	11142	2512
816	11155	2498
817	11168	2484
818	11181	2471
819	11194	2457
820	11208	2443
821	11220	2429
822	11233	2415
823	11247	2402
824	11261	2388
825	11274	2375
826	11288	2361
827	11303	2347
828	11316	2334
829	11330	2320
830	11342	2306
831	11356	2293
832	11369	2279
833	11383	2265
834	11397	2252
835	11411	2238
836	11425	2224
837	11438	2211
838	11452	2197
839	11465	2183
840	11478	2170
841	11492	2156
842	11505	2142
843	11519	2129
844	11531	2115
845	11545	2101
846	11559	2087
847	11572	2074
848	11584	2060
849	11598	2046
850	11611	2032
851	11625	2019
852	11639	2005
853	11653	1992
854	11666	1978
855	11680	1964
856	11715	1954
857	11736	1942
858	11749	1928
859	11762	1914
860	11775	1901
861	11789	1887
862	11802	1873
863	11816	1859
864	11829	1846
865	11843	1832
866	11856	1818
867	11871	1805
868	11884	1791
869	11898	1777
870	11911	1764
871	11936	1752
872	11949	1738
873	11962	1724
874	11976	1710
875	11989	1697
876	12001	1683
877	12015	1669
878	12029	1655
879	12042	1642
880	12056	1628
881	12070	1614
882	12084	1601
883	12097	1587
884	12108	1573
885	12122	1559
886	12135	1546
887	12149	1532
888	12163	1518
889	12176	1504
890	12190	1491
891	12204	1477
892	12218	1464
893	12231	1450
894	12245	1436
895	12258	1422
896	12272	1409
897	12286	1395
898	12299	1381
899	12312	1368
900	12326	1354
901	12339	1340
902	12352	1326
903	12365	1313
904	12378	1299
905	12393	1285
906	12406	1272
907	12419	1258
908	12435	1244
909	12448	1231
910	12462	1217
911	12476	1203
912	12489	1190
913	12502	1176
914	12516	1162
915	12529	1148
916	12542	1135
917	12556	1121
918	12574	1108
919	12620	1097
920	12650	1085
921	12672	1072
922	12686	1058
923	12699	1044
924	12712	1030
925	12725	1016
926	12738	1003
927	12751	989
928	12764	975
929	12777	961
930	12790	947
931	12804	934
932	12817	920
933	12832	906
934	12845	892
935	12858	879
936	12871	865
937	12885	851
938	12898	837
939	12911	824
940	12926	810
941	12939	796
942	12951	782
943	12965	769
944	12978	755
945	12991	741
946	13005	727
947	13018	714
948	13032	700
949	13045	686
950	13057	672
951	13070	659
952	13083	645
953	13096	631
954	13110	617
955	13124	604
956	13138	590
957	13152	576
958	13164	562
959	13178	549
960	13192	535
961	13205	521
962	13219	507
963	13232	494
964	13246	480
965	13259	466
966	13272	452
967	13284	439
968	13297	425
969	13310	411
970	13324	397
971	13337	384
972	13350	370
973	13364	356
974	13418	344
975	13432	330
976	13446	316
977	13459	302
978	13472	288
979	13486	275
980	13500	261
981	13513	247
982	13526	233
983	13540	220
984	13552	206
985	13566	192
986	13579	178
987	13593	165
988	13607	151
989	13620	137
990	13633	123
991	13647	110
992	13661	96
993	13675	82
994	13689	68
995	13702	55
996	13715	41
997	13728	27
998	13741	13
999	13755	0
